Thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
I am great ,Thank you so much.
I am Bad,I'm sorry to hear that.Hopefully things will get better soon.
Thank you,Good to hear from you.
thank you,Good to hear from you.
Thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
Thank you,Good to hear from you.
I am Bad,I'm sorry to hear that.Hopefully things will get better soon.
I am great ,Thank you so much.
Hello, 
hai,Welcome
courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
Transportation facilities,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
Thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
yes,"Thank you for your interest to join to our college.So please click the link to redirect to the registration site:<a href=""https://www.mbcpeermade.com/Admissions/B-Tech/1"">MBCCET website</a>"
thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
I am great ,"Thank you so much.<img src=""https://i.pinimg.com/474x/2b/11/5a/2b115adb901249d9fd7957de21397905.jpg"">"
Thank you,Good to hear from you.
I am Bad,I'm sorry to hear that.Hopefully things will get better soon.
Hello, 
Hello, 
Hello, 
Hello,Welcome To MBC CHAT BOT.How Can I Help you?
hello,Welcome To MBC CHAT BOT.How Can I Help you?
hai ,Welcome
Courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
thank you,Good to hear from you.
Hello,Welcome To MBC CHAT BOT.How Can I Help you?
hello,Welcome To MBC CHAT BOT.How Can I Help you?
who are you,"I am MBC Powered Chat Bot <img src=""https://storage.googleapis.com/ezap-prod/colleges/2100/mar-baselios-christian-college-of-engineering-and-technology-kuttikanam-peermade-logo.jpg"">"
Courses offered,"There are mainly Five Streams in BTech,ie Computer Science and Engineering,Electrical and Electronics Engineering,Electronics and Communication Engineering,Civil Engineering,Mechanical Engineering."
Under which university the college is,"Kerala Technological University(KTU).<img src=""https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJZ03-x5yWcCboU1-KYA78eVAO2GmnAbwZAcf41lDto2C386NYRmB8_eGlZCyvX_bZmiU&usqp=CAU.jpg"">"
Doccuments required,"Tenth andTwelth Mark Sheet(Original),KEAM Mark Sheet,Contact Certificate from School,Copy of Birth Certificate,Adhar Card(Copy)."
Hostel facilities in the college,"The College provides residential facilities for boys, girls and the staff members. The College has two separate hostels for boys with a total intake capacity of 850 students and two hostels for girls with 600 total intake capacity. Ergonomically designed rooms provide a feeling of home away from home. MBC has been applauded as the only residential Engineering College in Kerala.                                                                                                                                 Men's Hostel                                                                                                                                                                                                                                                                                                                                                           MBC offers two residential hostels, on a sharing basis, for men, with a total intake capacity of 850 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Hostels in the campus provide the best atmosphere for the academic and personal development of every student. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.MH I hostel offers well-furnished 69 rooms for men, along with a Prayer hall, TV hall, reading room and a large mess hall.Established in 2005, MH II has 90 spacious rooms for men along with a Prayer hall, recreational room, and an adjacent large mess hall.                                                                                                                                                                                                                                                                                                                                               Ladie's Hostel                                                                                                                                                                                                                                                                                                                MBC offers two residential hostels, on a sharing basis, for women, with a total intake capacity of 600 students. The hostels have to their merit a fully-functional 24/7 Wi-Fi access, reading room, fitness centre and recreational area. Mutual cooperation, sympathy, and love provide the best atmosphere for the academic and personal development of every student and are the characteristics of Ladies’ hostel. Presence of resident tutors in the hostels is another salient feature that makes stay at MBC a life-time experience.LH I hostel offers well-furnished 69 rooms for women, along with a Prayer Hall, TV Hall, Reading Room and a large Mess Hall.Established in 2005, LH II has 90 spacious rooms for women along with a Prayer hall, Recreational Room, and an adjacent large Mess Hall.

"
eligibility for b tech admission,"The eligibility for all B.Tech branches admission is:
1)Student should pass +2 or equivalent with Physics, Chemistry & Mathematics as core subjects with minimum 50% marks in aggregate and 50% or above in Mathematics.
2)Student should qualify the All Kerala Engineering Entrance Examination or JEE (Joint Entrance Examination)
3)For NRI Quota, Entrance Examination is not compulsory."
salient features of the college,"1)Completed 20 years of Excellence in Engineering Education.
2)Wide Spread eco-friendly campus bordered by lush green tea plantations, meadows and reserve forests on three sides in an area of 77 acres.
3)One among the biggest residential campus.
4)Eminent teaching faculty with a blend of industrial, teaching and research experience.
5)Regular training on soft skills and career guidance with excellent placement records.
6)Large Spacious and well equipped laboratories with State-of-art facilities.
7)24/7 Faculty Advisory system.
8)Excellent results in university examinations.
9)Full time counselling centre imparting individual care to each student."
Location of the college,"<a href=""https://www.mbcpeermade.com/Route-Map""MBC Location Map</a>"
transportation facilities in the college,"MBC offers transportation facilities to day scholars and faculties for an easy acces to the college.There are seven college buses for to and fro travel from Pampady,Kumil,Kattappana on week days and kottayam,Parumala and Adoor on weekends.The college buses have experienced drivers and supporting staff for a comfortable travel.<img src=""https://www.mbcpeermade.com/UserFiles/MBC/Facilities/Transportation/college_bus.jpg"">"
thank you for your valuable information about the college,It was my duty to reveal informations about the college with you.Do you Want to join to our College.
yes,"Thank you for your interest to join to our college.So please click the link to redirect to the registration site (For Management Quota):<a href=""https://www.mbcpeermade.com/B-TECH-APPLICATION-MANAGEMENT-QUOTA"">Management Quota</a>, For NRI Quota:<a href=""https://www.mbcpeermade.com/B-TECH-APPLICATION-NRI-OR-NRK-QUOTA"">NRI Quota</a>"
thank you,"Please rate the experience with the chat bot<br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am great ')"";>Excellent</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('Thank you')"";>Good</a><br><a class=""chatSuggest"" onclick=""$(this).hide(); chatSuggest('I am Bad')"";>Bad</a><br>"
I am great ,"Thank you so much.<img src=""https://i.pinimg.com/474x/2b/11/5a/2b115adb901249d9fd7957de21397905.jpg"">"
